Method,Accuracy,MAE(m),RMSE(m),Recall@1m(%),Recall@2m(%)
Paper (Table II & V),88.89,1.63,2.11,35.80,80.50
Our reproduction (v2 paper params),71.43,1.87,2.72,45.76,71.19
