Metric,Value (%)
AP,71.72
AP50,85.92
AP75,84.89
APs,69.44
APm,75.09
APl,-100.00
AR@1,71.03
AR@10,79.38
AR@100,79.38
ARs,75.98
ARm,82.99
ARl,-100.00
