magnitude,ratio,method,mae_mean,mae_std,r1m_mean,r2m_mean,detect_precision,detect_recall
10.0,0.2,sp,2.233,0.03,39.14,67.58,0.698,0.905
10.0,0.2,uspa,2.252,0.022,40.37,67.58,,
10.0,0.3,mean,2.575,0.01,22.48,58.26,,
10.0,0.3,median,2.225,0.013,39.3,66.36,,
10.0,0.3,geometric_median,2.216,0.005,40.06,66.97,,
10.0,0.3,dbscan,2.243,0.046,40.37,67.43,,
10.0,0.3,nsal,2.261,0.015,37.92,65.75,,
10.0,0.3,src,2.275,0.008,36.09,65.75,0.795,0.997
10.0,0.3,l1_sor,2.247,0.0,37.61,66.21,0.78,0.997
10.0,0.3,omp,2.422,0.022,31.19,62.23,0.773,0.711
10.0,0.3,cosamp,2.286,0.007,36.39,66.36,0.873,0.806
10.0,0.3,sp,2.338,0.031,33.64,65.6,0.847,0.784
10.0,0.3,uspa,2.283,0.026,38.99,66.36,,
10.0,0.4,mean,2.657,0.036,21.25,53.82,,
10.0,0.4,median,2.248,0.036,40.06,66.67,,
10.0,0.4,geometric_median,2.232,0.018,40.67,66.67,,
10.0,0.4,dbscan,2.247,0.038,40.83,66.97,,
10.0,0.4,nsal,2.321,0.029,34.56,66.06,,
10.0,0.4,src,2.311,0.034,35.63,65.44,0.832,0.996
10.0,0.4,l1_sor,2.27,0.029,37.16,65.75,0.825,0.997
10.0,0.4,omp,2.61,0.103,21.87,56.27,0.819,0.562
10.0,0.4,cosamp,2.453,0.04,28.75,60.86,0.946,0.659
10.0,0.4,sp,2.487,0.024,26.91,59.94,0.908,0.631
10.0,0.4,uspa,2.354,0.022,34.71,66.21,,
20.0,0.0,mean,2.271,0.0,40.83,67.43,,
20.0,0.0,median,2.178,0.0,42.2,67.43,,
20.0,0.0,geometric_median,2.184,0.0,41.74,66.97,,
20.0,0.0,dbscan,2.223,0.0,40.83,67.89,,
20.0,0.0,nsal,2.186,0.0,42.2,67.43,,
20.0,0.0,src,2.188,0.0,41.74,67.43,,
20.0,0.0,l1_sor,2.187,0.0,42.2,68.35,,
20.0,0.0,omp,2.215,0.031,41.13,67.58,,
20.0,0.0,cosamp,2.182,0.028,42.66,67.89,,
20.0,0.0,sp,2.182,0.015,39.91,67.58,,
20.0,0.0,uspa,2.221,0.0,43.12,66.97,,
20.0,0.1,mean,2.75,0.027,15.44,49.24,,
20.0,0.1,median,2.205,0.003,41.28,67.43,,
20.0,0.1,geometric_median,2.202,0.007,41.28,67.74,,
20.0,0.1,dbscan,2.223,0.021,40.52,67.74,,
20.0,0.1,nsal,2.194,0.013,40.98,67.89,,
20.0,0.1,src,2.225,0.005,39.6,67.43,0.651,0.999
20.0,0.1,l1_sor,2.218,0.003,40.52,67.13,0.623,0.999
20.0,0.1,omp,2.263,0.03,40.06,66.82,0.402,0.959
20.0,0.1,cosamp,2.205,0.019,41.59,67.13,0.41,0.978
20.0,0.1,sp,2.208,0.016,41.9,67.43,0.412,0.981
20.0,0.1,uspa,2.237,0.017,41.13,66.51,,
20.0,0.2,mean,2.999,0.051,14.37,41.9,,
20.0,0.2,median,2.213,0.024,40.37,66.82,,
20.0,0.2,geometric_median,2.192,0.016,40.52,67.74,,
20.0,0.2,dbscan,2.259,0.025,40.83,68.5,,
20.0,0.2,nsal,2.25,0.026,37.77,66.82,,
20.0,0.2,src,2.239,0.026,37.77,66.21,0.731,1.0
20.0,0.2,l1_sor,2.213,0.023,39.45,66.67,0.709,1.0
20.0,0.2,omp,2.361,0.066,37.16,63.91,0.698,0.902
20.0,0.2,cosamp,2.259,0.017,37.92,66.67,0.733,0.942
20.0,0.2,sp,2.246,0.016,38.99,66.67,0.729,0.939
20.0,0.2,uspa,2.311,0.031,38.07,66.36,,
20.0,0.3,mean,3.189,0.018,10.86,38.69,,
20.0,0.3,median,2.223,0.006,38.84,66.51,,
20.0,0.3,geometric_median,2.212,0.008,40.21,67.13,,
20.0,0.3,dbscan,2.207,0.039,40.67,68.04,,
20.0,0.3,nsal,2.334,0.015,33.49,65.14,,
20.0,0.3,src,2.275,0.002,35.47,65.6,0.795,0.999
20.0,0.3,l1_sor,2.248,0.002,37.61,66.21,0.781,1.0
20.0,0.3,omp,2.718,0.033,23.55,53.82,0.812,0.743
20.0,0.3,cosamp,2.447,0.02,30.43,61.31,0.9,0.826
20.0,0.3,sp,2.518,0.025,27.22,59.02,0.883,0.813
20.0,0.3,uspa,2.378,0.038,33.03,65.29,,
20.0,0.4,mean,3.414,0.037,9.17,32.42,,
20.0,0.4,median,2.268,0.06,40.06,66.51,,
20.0,0.4,geometric_median,2.255,0.04,40.52,66.51,,
20.0,0.4,dbscan,2.233,0.033,41.28,67.43,,
20.0,0.4,nsal,2.479,0.025,27.83,60.7,,
20.0,0.4,src,2.347,0.057,33.94,64.98,0.828,1.0
20.0,0.4,l1_sor,2.295,0.044,37.16,65.29,0.824,1.0
20.0,0.4,omp,3.368,0.055,11.77,33.64,0.836,0.571
20.0,0.4,cosamp,2.907,0.042,19.72,45.72,0.975,0.676
20.0,0.4,sp,3.006,0.054,18.65,43.12,0.942,0.654
20.0,0.4,uspa,2.556,0.013,27.06,59.63,,
