sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
14,0.1,7,1,3,2011_09_26_drive_0014_0000000306,3,0|1|2,2011_09_26_drive_0014_0000000301|2011_09_26_drive_0014_0000000302|2011_09_26_drive_0014_0000000304,0.0,0.0,0.864,0
19,0.1,15,2,5|8,2011_09_26_drive_0019_0000000179|2011_09_26_drive_0019_0000000182,3,3|5|8,2011_09_26_drive_0019_0000000177|2011_09_26_drive_0019_0000000179|2011_09_26_drive_0019_0000000182,0.667,1.0,0.543,0
20,0.1,10,1,3,2011_09_26_drive_0027_0000000024,3,1|3|6,2011_09_26_drive_0027_0000000021|2011_09_26_drive_0027_0000000024|2011_09_26_drive_0027_0000000030,0.333,1.0,1.354,0
23,0.1,7,1,0,2011_09_26_drive_0028_0000000225,3,0|1|2,2011_09_26_drive_0028_0000000225|2011_09_26_drive_0028_0000000226|2011_09_26_drive_0028_0000000227,0.333,1.0,0.39,0
32,0.1,9,1,7,2011_09_26_drive_0032_0000000306,3,0|4|7,2011_09_26_drive_0032_0000000298|2011_09_26_drive_0032_0000000303|2011_09_26_drive_0032_0000000306,0.333,1.0,0.833,0
33,0.1,11,1,4,2011_09_26_drive_0032_0000000303,3,3|4|6,2011_09_26_drive_0032_0000000302|2011_09_26_drive_0032_0000000303|2011_09_26_drive_0032_0000000305,0.333,1.0,0.473,0
35,0.1,9,1,3,2011_09_26_drive_0036_0000000108,3,0|3|5,2011_09_26_drive_0036_0000000105|2011_09_26_drive_0036_0000000108|2011_09_26_drive_0036_0000000110,0.333,1.0,3.366,0
38,0.1,12,1,11,2011_09_26_drive_0039_0000000377,3,3|9|11,2011_09_26_drive_0039_0000000369|2011_09_26_drive_0039_0000000375|2011_09_26_drive_0039_0000000377,0.333,1.0,1.492,0
44,0.1,8,1,0,2011_09_26_drive_0057_0000000292,3,0|3|6,2011_09_26_drive_0057_0000000292|2011_09_26_drive_0057_0000000298|2011_09_26_drive_0057_0000000304,0.333,1.0,0.552,0
53,0.1,9,1,7,2011_09_26_drive_0061_0000000012,3,6|7|8,2011_09_26_drive_0061_0000000011|2011_09_26_drive_0061_0000000012|2011_09_26_drive_0061_0000000013,0.333,1.0,1.909,0
56,0.1,12,1,8,2011_09_26_drive_0061_0000000461,3,0|2|8,2011_09_26_drive_0061_0000000453|2011_09_26_drive_0061_0000000455|2011_09_26_drive_0061_0000000461,0.333,1.0,0.495,0
59,0.1,8,1,6,2011_09_26_drive_0070_0000000044,3,2|5|6,2011_09_26_drive_0070_0000000040|2011_09_26_drive_0070_0000000043|2011_09_26_drive_0070_0000000044,0.333,1.0,1.271,0
