sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
68,0.0,16,0,,,2,5|7,2011_09_26_drive_0091_0000000140|2011_09_26_drive_0091_0000000144,0.0,1.0,6.041,0
69,0.0,10,0,,,1,1,2011_09_26_drive_0091_0000000324,0.0,1.0,0.702,0
70,0.0,11,0,,,8,0|1|2|3|7|8|9|10,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000136|2011_09_26_drive_0093_0000000140|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000143,0.0,1.0,3.254,0
71,0.0,12,0,,,8,0|1|2|3|8|9|10|11,2011_09_26_drive_0093_0000000133|2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000136|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000143|2011_09_26_drive_0093_0000000144,0.0,1.0,1.467,0
72,0.0,26,0,,,24,0|1|2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|20|21|22|23|24|25,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374|2011_09_26_drive_0093_0000000375|2011_09_26_drive_0093_0000000376|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378|2011_09_26_drive_0093_0000000379|2011_09_26_drive_0093_0000000380|2011_09_26_drive_0093_0000000381,0.0,1.0,14.788,0
73,0.0,17,0,,,15,0|1|2|3|4|5|6|7|9|11|12|13|14|15|16,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372,0.0,1.0,12.43,0
75,0.0,19,0,,,18,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|16|17|18,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000358|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374,0.0,1.0,12.027,0
76,0.0,19,0,,,18,0|1|2|3|4|5|6|7|8|10|11|12|13|14|15|16|17|18,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000361|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000367|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000372|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000374|2011_09_26_drive_0093_0000000375|2011_09_26_drive_0093_0000000376|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378,0.0,1.0,11.884,0
81,0.0,7,0,,,4,0|1|5|6,2011_09_26_drive_0101_0000000426|2011_09_26_drive_0101_0000000427|2011_09_26_drive_0101_0000000431|2011_09_26_drive_0101_0000000432,0.0,1.0,0.578,0
84,0.0,8,0,,,4,0|3|6|7,2011_09_26_drive_0101_0000000744|2011_09_26_drive_0101_0000000747|2011_09_26_drive_0101_0000000750|2011_09_26_drive_0101_0000000751,0.0,1.0,2.505,0
87,0.0,19,0,,,6,0|1|9|16|17|18,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000017|2011_09_26_drive_0104_0000000025|2011_09_26_drive_0104_0000000032|2011_09_26_drive_0104_0000000033|2011_09_26_drive_0104_0000000034,0.0,1.0,0.703,0
88,0.0,19,0,,,3,5|6|18,2011_09_26_drive_0104_0000000021|2011_09_26_drive_0104_0000000022|2011_09_26_drive_0104_0000000034,0.0,1.0,0.771,0
89,0.0,12,0,,,2,0|11,2011_09_26_drive_0104_0000000016|2011_09_26_drive_0104_0000000027,0.0,1.0,13.63,0
90,0.0,19,0,,,4,2|8|16|18,2011_09_26_drive_0104_0000000037|2011_09_26_drive_0104_0000000043|2011_09_26_drive_0104_0000000052|2011_09_26_drive_0104_0000000054,0.0,1.0,0.787,0
91,0.0,16,0,,,2,0|5,2011_09_26_drive_0104_0000000057|2011_09_26_drive_0104_0000000062,0.0,1.0,0.105,0
93,0.0,14,0,,,1,2,2011_09_26_drive_0104_0000000198,0.0,1.0,0.404,0
94,0.0,8,0,,,0,,,1.0,1.0,0.268,0
96,0.0,7,0,,,0,,,1.0,1.0,0.843,0
97,0.0,13,0,,,7,1|4|7|9|10|11|12,2011_09_26_drive_0106_0000000205|2011_09_26_drive_0106_0000000208|2011_09_26_drive_0106_0000000211|2011_09_26_drive_0106_0000000213|2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000216,0.0,1.0,3.015,0
98,0.0,18,0,,,1,1,2011_09_26_drive_0106_0000000205,0.0,1.0,0.847,0
99,0.0,10,0,,,7,0|1|2|3|4|5|6,2011_09_26_drive_0106_0000000212|2011_09_26_drive_0106_0000000213|2011_09_26_drive_0106_0000000214|2011_09_26_drive_0106_0000000215|2011_09_26_drive_0106_0000000216|2011_09_26_drive_0106_0000000217|2011_09_26_drive_0106_0000000219,0.0,1.0,5.33,0
102,0.0,11,0,,,0,,,1.0,1.0,0.358,0
103,0.0,14,0,,,1,2,2011_09_28_drive_0002_0000000061,0.0,1.0,12.109,0
105,0.0,8,0,,,0,,,1.0,1.0,0.323,0
106,0.0,8,0,,,1,5,2011_09_29_drive_0071_0000000169,0.0,1.0,1.463,0
108,0.0,17,0,,,1,5,2011_09_30_drive_0018_0000000082,0.0,1.0,0.718,0
109,0.0,21,0,,,2,0|1,2011_09_30_drive_0018_0000000740|2011_09_30_drive_0018_0000000741,0.0,1.0,1.033,0
111,0.0,21,0,,,2,3|9,2011_09_30_drive_0018_0000001487|2011_09_30_drive_0018_0000001493,0.0,1.0,1.121,0
112,0.0,21,0,,,10,0|1|2|3|4|6|10|18|19|20,2011_09_30_drive_0018_0000002260|2011_09_30_drive_0018_0000002261|2011_09_30_drive_0018_0000002262|2011_09_30_drive_0018_0000002263|2011_09_30_drive_0018_0000002264|2011_09_30_drive_0018_0000002266|2011_09_30_drive_0018_0000002270|2011_09_30_drive_0018_0000002278|2011_09_30_drive_0018_0000002279|2011_09_30_drive_0018_0000002280,0.0,1.0,2.983,0
114,0.0,9,0,,,0,,,1.0,1.0,1.678,0
115,0.0,14,0,,,1,2,2011_09_30_drive_0018_0000002662,0.0,1.0,0.98,0
117,0.0,7,0,,,0,,,1.0,1.0,0.91,0
118,0.0,16,0,,,7,0|1|3|4|12|14|15,2011_09_30_drive_0020_0000000843|2011_09_30_drive_0020_0000000844|2011_09_30_drive_0020_0000000846|2011_09_30_drive_0020_0000000847|2011_09_30_drive_0020_0000000855|2011_09_30_drive_0020_0000000857|2011_09_30_drive_0020_0000000858,0.0,1.0,1.986,0
119,0.0,7,0,,,0,,,1.0,1.0,0.84,0
120,0.0,16,0,,,3,0|2|3,2011_09_30_drive_0027_0000000105|2011_09_30_drive_0027_0000000107|2011_09_30_drive_0027_0000000108,0.0,1.0,3.864,0
121,0.0,18,0,,,1,8,2011_09_30_drive_0027_0000000440,0.0,1.0,1.464,0
122,0.0,10,0,,,1,1,2011_09_30_drive_0027_0000000441,0.0,1.0,5.83,0
124,0.0,15,0,,,9,0|1|2|3|5|7|8|9|10,2011_09_30_drive_0027_0000000608|2011_09_30_drive_0027_0000000609|2011_09_30_drive_0027_0000000610|2011_09_30_drive_0027_0000000611|2011_09_30_drive_0027_0000000613|2011_09_30_drive_0027_0000000615|2011_09_30_drive_0027_0000000616|2011_09_30_drive_0027_0000000617|2011_09_30_drive_0027_0000000618,0.0,1.0,1.599,0
125,0.0,15,0,,,3,0|1|4,2011_09_30_drive_0027_0000000608|2011_09_30_drive_0027_0000000609|2011_09_30_drive_0027_0000000612,0.0,1.0,0.917,0
126,0.0,27,0,,,8,0|5|13|20|21|22|23|26,2011_09_30_drive_0027_0000000614|2011_09_30_drive_0027_0000000619|2011_09_30_drive_0027_0000000628|2011_09_30_drive_0027_0000000646|2011_09_30_drive_0027_0000000647|2011_09_30_drive_0027_0000000648|2011_09_30_drive_0027_0000000649|2011_09_30_drive_0027_0000000652,0.0,1.0,1.742,0
127,0.0,7,0,,,0,,,1.0,1.0,1.004,0
130,0.0,16,0,,,10,0|1|2|3|4|10|12|13|14|15,2011_09_30_drive_0027_0000000994|2011_09_30_drive_0027_0000000995|2011_09_30_drive_0027_0000000996|2011_09_30_drive_0027_0000000997|2011_09_30_drive_0027_0000000998|2011_09_30_drive_0027_0000001004|2011_09_30_drive_0027_0000001006|2011_09_30_drive_0027_0000001007|2011_09_30_drive_0027_0000001008|2011_09_30_drive_0027_0000001009,0.0,1.0,2.664,0
132,0.0,7,0,,,0,,,1.0,1.0,1.186,0
138,0.0,9,0,,,0,,,1.0,1.0,4.004,0
139,0.0,7,0,,,0,,,1.0,1.0,0.937,0
141,0.0,15,0,,,2,13|14,2011_09_30_drive_0028_0000002488|2011_09_30_drive_0028_0000002489,0.0,1.0,5.069,0
142,0.0,12,0,,,2,10|11,2011_09_30_drive_0028_0000002499|2011_09_30_drive_0028_0000002501,0.0,1.0,1.2,0
144,0.0,11,0,,,0,,,1.0,1.0,2.506,0
146,0.0,7,0,,,0,,,1.0,1.0,2.095,0
147,0.0,8,0,,,0,,,1.0,1.0,0.846,0
148,0.0,11,0,,,0,,,1.0,1.0,0.777,0
151,0.0,8,0,,,1,0,2011_09_30_drive_0028_0000002968,0.0,1.0,0.715,0
153,0.0,10,0,,,0,,,1.0,1.0,0.139,0
156,0.0,10,0,,,0,,,1.0,1.0,3.679,0
157,0.0,10,0,,,0,,,1.0,1.0,0.715,0
159,0.0,8,0,,,0,,,1.0,1.0,0.235,0
169,0.0,7,0,,,0,,,1.0,1.0,0.287,0
170,0.0,7,0,,,0,,,1.0,1.0,0.355,0
172,0.0,7,0,,,2,0|3,2011_09_30_drive_0028_0000004950|2011_09_30_drive_0028_0000004953,0.0,1.0,1.317,0
173,0.0,12,0,,,0,,,1.0,1.0,7.181,0
174,0.0,7,0,,,0,,,1.0,1.0,0.81,0
175,0.0,10,0,,,1,0,2011_09_30_drive_0028_0000005039,0.0,1.0,11.795,0
177,0.0,8,0,,,0,,,1.0,1.0,0.729,0
178,0.0,11,0,,,0,,,1.0,1.0,2.614,0
183,0.0,13,0,,,1,1,2011_09_30_drive_0033_0000001461,0.0,1.0,0.526,0
185,0.0,9,0,,,1,0,2011_09_30_drive_0033_0000001488,0.0,1.0,10.585,0
186,0.0,11,0,,,0,,,1.0,1.0,1.534,0
189,0.0,10,0,,,0,,,1.0,1.0,0.508,0
190,0.0,9,0,,,0,,,1.0,1.0,0.381,0
191,0.0,8,0,,,0,,,1.0,1.0,1.472,0
200,0.0,11,0,,,2,3|9,2011_10_03_drive_0027_0000000082|2011_10_03_drive_0027_0000000088,0.0,1.0,2.732,0
201,0.0,11,0,,,0,,,1.0,1.0,2.161,0
202,0.0,20,0,,,4,0|1|3|14,2011_10_03_drive_0027_0000000078|2011_10_03_drive_0027_0000000079|2011_10_03_drive_0027_0000000082|2011_10_03_drive_0027_0000000093,0.0,1.0,1.336,0
204,0.0,16,0,,,1,0,2011_10_03_drive_0027_0000000392,0.0,1.0,0.431,0
205,0.0,17,0,,,8,0|1|2|3|5|7|8|11,2011_10_03_drive_0027_0000000494|2011_10_03_drive_0027_0000000496|2011_10_03_drive_0027_0000000498|2011_10_03_drive_0027_0000000499|2011_10_03_drive_0027_0000000501|2011_10_03_drive_0027_0000000503|2011_10_03_drive_0027_0000000504|2011_10_03_drive_0027_0000000507,0.0,1.0,0.544,0
206,0.0,23,0,,,9,1|4|5|6|7|19|20|21|22,2011_10_03_drive_0027_0000000496|2011_10_03_drive_0027_0000000500|2011_10_03_drive_0027_0000000501|2011_10_03_drive_0027_0000000502|2011_10_03_drive_0027_0000000503|2011_10_03_drive_0027_0000000515|2011_10_03_drive_0027_0000000516|2011_10_03_drive_0027_0000000517|2011_10_03_drive_0027_0000000518,0.0,1.0,1.176,0
207,0.0,28,0,,,18,0|1|2|3|5|7|8|13|14|15|17|19|20|21|22|23|25|26,2011_10_03_drive_0027_0000000501|2011_10_03_drive_0027_0000000502|2011_10_03_drive_0027_0000000503|2011_10_03_drive_0027_0000000504|2011_10_03_drive_0027_0000000506|2011_10_03_drive_0027_0000000508|2011_10_03_drive_0027_0000000509|2011_10_03_drive_0027_0000000514|2011_10_03_drive_0027_0000000515|2011_10_03_drive_0027_0000000516|2011_10_03_drive_0027_0000000518|2011_10_03_drive_0027_0000000520|2011_10_03_drive_0027_0000000521|2011_10_03_drive_0027_0000000522|2011_10_03_drive_0027_0000000523|2011_10_03_drive_0027_0000000524|2011_10_03_drive_0027_0000000526|2011_10_03_drive_0027_0000000527,0.0,1.0,6.415,0
208,0.0,7,0,,,3,0|1|6,2011_10_03_drive_0027_0000000694|2011_10_03_drive_0027_0000000695|2011_10_03_drive_0027_0000000700,0.0,1.0,1.496,0
209,0.0,11,0,,,0,,,1.0,1.0,3.122,0
210,0.0,18,0,,,0,,,1.0,1.0,2.008,0
211,0.0,12,0,,,0,,,1.0,1.0,3.191,0
213,0.0,15,0,,,3,0|1|13,2011_10_03_drive_0027_0000001089|2011_10_03_drive_0027_0000001090|2011_10_03_drive_0027_0000001102,0.0,1.0,0.539,0
