sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
40,0.4,7,3,0|3|4,2011_09_26_drive_0051_0000000115|2011_09_26_drive_0051_0000000121|2011_09_26_drive_0051_0000000123,3,0|3|4,2011_09_26_drive_0051_0000000115|2011_09_26_drive_0051_0000000121|2011_09_26_drive_0051_0000000123,1.0,1.0,0.327,0
42,0.4,12,5,1|2|7|8|11,2011_09_26_drive_0051_0000000143|2011_09_26_drive_0051_0000000145|2011_09_26_drive_0051_0000000155|2011_09_26_drive_0051_0000000157|2011_09_26_drive_0051_0000000163,3,2|6|9,2011_09_26_drive_0051_0000000145|2011_09_26_drive_0051_0000000153|2011_09_26_drive_0051_0000000159,0.333,0.2,3.005,0
43,0.4,9,4,1|4|5|7,2011_09_26_drive_0056_0000000011|2011_09_26_drive_0056_0000000014|2011_09_26_drive_0056_0000000015|2011_09_26_drive_0056_0000000017,3,1|4|5,2011_09_26_drive_0056_0000000011|2011_09_26_drive_0056_0000000014|2011_09_26_drive_0056_0000000015,1.0,0.75,1.834,0
45,0.4,13,5,0|1|3|5|7,2011_09_26_drive_0057_0000000328|2011_09_26_drive_0057_0000000330|2011_09_26_drive_0057_0000000332|2011_09_26_drive_0057_0000000334|2011_09_26_drive_0057_0000000336,3,1|5|11,2011_09_26_drive_0057_0000000330|2011_09_26_drive_0057_0000000334|2011_09_26_drive_0057_0000000340,0.667,0.4,0.873,0
46,0.4,15,6,0|2|5|7|10|13,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000009|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000018|2011_09_26_drive_0059_0000000024|2011_09_26_drive_0059_0000000030,3,0|5|10,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000024,1.0,0.5,1.884,0
47,0.4,19,8,0|3|8|10|14|15|16|17,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000020|2011_09_26_drive_0059_0000000024|2011_09_26_drive_0059_0000000032|2011_09_26_drive_0059_0000000034|2011_09_26_drive_0059_0000000036|2011_09_26_drive_0059_0000000038,3,10|14|16,2011_09_26_drive_0059_0000000024|2011_09_26_drive_0059_0000000032|2011_09_26_drive_0059_0000000036,1.0,0.375,0.589,0
48,0.4,19,8,0|1|3|5|7|8|9|13,2011_09_26_drive_0059_0000000006|2011_09_26_drive_0059_0000000008|2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000018|2011_09_26_drive_0059_0000000020|2011_09_26_drive_0059_0000000022|2011_09_26_drive_0059_0000000030,3,3|5|11,2011_09_26_drive_0059_0000000011|2011_09_26_drive_0059_0000000015|2011_09_26_drive_0059_0000000026,0.667,0.25,0.182,0
49,0.4,13,5,1|3|6|8|10,2011_09_26_drive_0059_0000000056|2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000070|2011_09_26_drive_0059_0000000074,3,3|6|8,2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000070,1.0,0.6,1.759,0
50,0.4,13,5,1|3|7|9|11,2011_09_26_drive_0059_0000000056|2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000068|2011_09_26_drive_0059_0000000072|2011_09_26_drive_0059_0000000076,3,1|3|7,2011_09_26_drive_0059_0000000056|2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000068,1.0,0.6,1.846,0
51,0.4,13,5,1|2|3|6|7,2011_09_26_drive_0059_0000000056|2011_09_26_drive_0059_0000000058|2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000068,3,3|6|7,2011_09_26_drive_0059_0000000060|2011_09_26_drive_0059_0000000066|2011_09_26_drive_0059_0000000068,1.0,0.6,2.312,0
52,0.4,11,4,1|2|5|6,2011_09_26_drive_0059_0000000346|2011_09_26_drive_0059_0000000348|2011_09_26_drive_0059_0000000354|2011_09_26_drive_0059_0000000356,3,1|2|6,2011_09_26_drive_0059_0000000346|2011_09_26_drive_0059_0000000348|2011_09_26_drive_0059_0000000356,1.0,0.75,3.787,0
54,0.4,13,5,1|4|7|8|12,2011_09_26_drive_0061_0000000169|2011_09_26_drive_0061_0000000172|2011_09_26_drive_0061_0000000175|2011_09_26_drive_0061_0000000176|2011_09_26_drive_0061_0000000180,3,1|4|8,2011_09_26_drive_0061_0000000169|2011_09_26_drive_0061_0000000172|2011_09_26_drive_0061_0000000176,1.0,0.6,0.747,0
58,0.4,33,13,1|3|5|8|9|14|18|21|23|25|26|28|31,2011_09_26_drive_0064_0000000395|2011_09_26_drive_0064_0000000397|2011_09_26_drive_0064_0000000399|2011_09_26_drive_0064_0000000402|2011_09_26_drive_0064_0000000403|2011_09_26_drive_0064_0000000408|2011_09_26_drive_0064_0000000412|2011_09_26_drive_0064_0000000415|2011_09_26_drive_0064_0000000417|2011_09_26_drive_0064_0000000419|2011_09_26_drive_0064_0000000420|2011_09_26_drive_0064_0000000422|2011_09_26_drive_0064_0000000425,3,8|26|31,2011_09_26_drive_0064_0000000402|2011_09_26_drive_0064_0000000420|2011_09_26_drive_0064_0000000425,1.0,0.231,3.782,0
63,0.4,7,3,0|1|2,2011_09_26_drive_0070_0000000351|2011_09_26_drive_0070_0000000352|2011_09_26_drive_0070_0000000353,3,0|2|6,2011_09_26_drive_0070_0000000351|2011_09_26_drive_0070_0000000353|2011_09_26_drive_0070_0000000357,0.667,0.667,3.255,0
64,0.4,10,4,1|3|7|8,2011_09_26_drive_0084_0000000134|2011_09_26_drive_0084_0000000136|2011_09_26_drive_0084_0000000140|2011_09_26_drive_0084_0000000141,3,1|3|9,2011_09_26_drive_0084_0000000134|2011_09_26_drive_0084_0000000136|2011_09_26_drive_0084_0000000142,0.667,0.5,7.422,0
67,0.4,18,7,1|7|8|11|12|15|16,2011_09_26_drive_0091_0000000120|2011_09_26_drive_0091_0000000126|2011_09_26_drive_0091_0000000127|2011_09_26_drive_0091_0000000130|2011_09_26_drive_0091_0000000131|2011_09_26_drive_0091_0000000134|2011_09_26_drive_0091_0000000135,3,8|12|16,2011_09_26_drive_0091_0000000127|2011_09_26_drive_0091_0000000131|2011_09_26_drive_0091_0000000135,1.0,0.429,1.552,0
68,0.4,16,6,0|1|4|8|11|13,2011_09_26_drive_0091_0000000133|2011_09_26_drive_0091_0000000134|2011_09_26_drive_0091_0000000138|2011_09_26_drive_0091_0000000146|2011_09_26_drive_0091_0000000152|2011_09_26_drive_0091_0000000156,3,4|7|8,2011_09_26_drive_0091_0000000138|2011_09_26_drive_0091_0000000144|2011_09_26_drive_0091_0000000146,0.667,0.333,6.319,0
69,0.4,10,4,4|7|8|9,2011_09_26_drive_0091_0000000330|2011_09_26_drive_0091_0000000336|2011_09_26_drive_0091_0000000338|2011_09_26_drive_0091_0000000339,3,4|7|9,2011_09_26_drive_0091_0000000330|2011_09_26_drive_0091_0000000336|2011_09_26_drive_0091_0000000339,1.0,0.75,1.828,0
70,0.4,11,4,2|7|9|10,2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000140|2011_09_26_drive_0093_0000000142|2011_09_26_drive_0093_0000000143,3,2|8|10,2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000141|2011_09_26_drive_0093_0000000143,0.667,0.5,2.998,0
71,0.4,12,5,1|2|4|5|11,2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000137|2011_09_26_drive_0093_0000000138|2011_09_26_drive_0093_0000000144,3,1|2|11,2011_09_26_drive_0093_0000000134|2011_09_26_drive_0093_0000000135|2011_09_26_drive_0093_0000000144,1.0,0.6,1.663,0
72,0.4,26,10,0|3|4|8|9|13|14|15|17|24,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000371|2011_09_26_drive_0093_0000000373|2011_09_26_drive_0093_0000000380,3,4|21|22,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000377|2011_09_26_drive_0093_0000000378,0.333,0.1,14.257,0
73,0.4,17,7,0|1|6|8|12|13|14,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370,3,9|14|16,2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000372,0.333,0.143,9.065,0
75,0.4,19,8,0|1|3|7|9|13|14|16,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000359|2011_09_26_drive_0093_0000000363|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000372,3,0|1|18,2011_09_26_drive_0093_0000000356|2011_09_26_drive_0093_0000000357|2011_09_26_drive_0093_0000000374,0.667,0.25,12.46,0
76,0.4,19,8,0|4|5|6|8|9|10|15,2011_09_26_drive_0093_0000000360|2011_09_26_drive_0093_0000000364|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000366|2011_09_26_drive_0093_0000000368|2011_09_26_drive_0093_0000000369|2011_09_26_drive_0093_0000000370|2011_09_26_drive_0093_0000000375,3,2|5|7,2011_09_26_drive_0093_0000000362|2011_09_26_drive_0093_0000000365|2011_09_26_drive_0093_0000000367,0.333,0.125,12.914,0
