ratio (mag=10.0m),mean,median,geometric_median,dbscan,nsal,src,l1_sor,omp,cosamp,sp,uspa
0.0,2.271,2.178,2.184,2.223,2.186,2.188,2.187,2.215,2.182,2.182,2.221
0.1,2.415,2.205,2.2,2.228,2.194,2.222,2.215,2.252,2.205,2.205,2.22
0.2,2.507,2.215,2.192,2.265,2.224,2.237,2.211,2.316,2.227,2.233,2.252
0.3,2.575,2.225,2.216,2.243,2.261,2.275,2.247,2.422,2.286,2.338,2.283
0.4,2.657,2.248,2.232,2.247,2.321,2.311,2.27,2.61,2.453,2.487,2.354
