k,mean,median,geometric_median,dbscan,nsal,src,l1_sor,omp,cosamp,sp,uspa
2,2.564,2.564,2.564,2.564,2.564,2.564,2.564,2.564,2.564,2.564,2.53
3,2.492,2.461,2.463,2.45,2.471,2.463,2.463,2.463,2.463,2.463,2.445
5,2.433,2.382,2.385,2.381,2.398,2.385,2.385,2.385,2.385,2.385,2.39
10,2.543,2.443,2.453,2.528,2.446,2.469,2.467,2.463,2.453,2.479,2.49
20,3.705,3.402,3.381,3.626,3.411,3.434,3.429,3.352,3.405,3.421,3.546
all,2.425,2.354,2.36,2.377,2.359,2.363,2.362,2.402,2.356,2.365,2.384
