method,mae,rmse,r1m,r2m,n,fallback_rate
mean,2.425,3.589,37.45,61.82,275,0.0
median,2.354,3.523,38.91,62.55,275,0.0
geometric_median,2.36,3.521,38.55,61.82,275,0.0
kmeans,2.472,3.848,37.09,62.18,275,0.0
dbscan,2.377,3.619,37.82,62.55,275,0.0
nsal,2.359,3.525,38.55,62.55,275,0.0
l1_sor,2.362,3.533,38.91,62.91,275,0.2073
omp,2.419,3.648,38.91,62.18,275,0.2073
cosamp,2.33,3.483,39.27,62.18,275,0.2073
sp,2.357,3.507,38.18,61.09,275,0.2073
uspa,2.384,3.725,39.64,62.18,275,0.0
