Method,Accuracy,Recall_Left,Recall_Back,Recall_Right,mRecall,Seconds
AutoTS w/ ROI,79.37,37.50,97.83,22.22,52.52,97.0
AutoTS w/ ROIS,77.78,37.50,93.48,33.33,54.77,373.6
AutoTS w/o SIFT,69.84,25.00,89.13,11.11,41.75,366.4
AutoTS w/o MImg,77.78,25.00,93.48,44.44,54.31,368.2
AutoTS w/ BiLSTMs,77.78,37.50,93.48,33.33,54.77,339.0
AutoTS w/ LSTMs,77.78,37.50,93.48,33.33,54.77,324.2
AutoTS (ours),74.60,12.50,93.48,33.33,46.44,371.6
AutoTS†,71.43,12.50,91.30,22.22,42.01,375.8
